streams working with VS1053_ext

//______________________________________________________________________
320k streams 

107.8 Radio Jackie                        www.radiojackie.com:5873/
OE1                                       mp3stream3.apasf.apa.at/listen.pls
ORF FM4                                   mp3stream1.apasf.apa.at:8000
ORF RADIO Kaernten                        194.232.200.145:8000/listen.pls
ORF Radio Salzburg                        194.232.200.147:8000/listen.pls
ORF Tirol                                 mp3stream10.apasf.apa.at:8000/
Radio 24                                  streamplus14.leonex.de:24954/listen.pls
Radio Alpina 106,9                        streamplus23.leonex.de:25708/listen.pls
Radio Burgenland                          194.232.200.146:8000/listen.pls
Radio FREEQUENNS                          www.freequenns.at:8000/rflow
Radio Grün-Weiß                           live.gruen-weiss.at/rgw.mp3
Radio Oberoesterreich                     194.232.200.148/listen.pls
Radio Steiermark                          mp3stream9.apasf.apa.at:8000/listen.pls
Radio Stephansdom                         streaming.lxcluster.at:8000/live128
Radio Technikum                           fc.macjingle.net:8200/listen.pls
Radio Uno                                 host5.cartwall.at:8888/listen.pls
Radio Welle Wörthersee                    s9.pop-stream.de:9750/
Radio Wien                                mp3stream2.apasf.apa.at:8000/
Radiofabrik 107,5                         stream.radiofabrik.at:8000/rf_low.mp3
Soundportal                               rs24.stream24.net:8000
U1 Tirol                                  188.138.1.125:24332/listen.pls
Unzmarkt-Frauenburg LIVE                  www.cartwall.at:7320/listen.pls
WELLE 1 Salzburg                          live.welle1.at:8128/listen.pls

my105 Original                            stream01.my105.ch/my105original.mp3
neo1                                      webradio.neo1.ch/neo1
Planet 105                                radio.netstream.ch/planet105_128k_mp3.m3u
Radio 1                                   radio.netstream.ch/128k.m3u
Radio 24 Zürich                           icecast.radio24.ch/radio24.m3u
Radio 32                                  radio32-stream.customer.solnet.ch:8000/radio32.m3u
Radio 3FACH                               3fach.ch/wp-content/uploads/listen.pls
Radio 4 TNG                               radio4tng.ice.infomaniak.ch/radio4tng-live-web.mp3.m3u
Radio Argovia                             icecastgreen.argovia.ch:8080/argovia-rc-96-aac
Radio Basilisk                            ohnewerbung.ice.infomaniak.ch:80/radiobasilisk-64-128-0
Radio BeO                                 87.237.169.123:8000/radiobeo.mp3
RADIO BERN1                               radio.netstream.ch/radiobern1128k.m3u
Radio Central                             radiocentral.ice.infomaniak.ch/radiocentral-128.mp3
Radio FM1                                 radiofm1.ice.infomaniak.ch/radiofm1-128.mp3
Radio Freiburg                            broadcast.infomaniak.ch/radiofreiburg-high.mp3.m3u
Radio Inside                              fra.radiostream.de:37499/listen.pls
Radio Kaiseregg                           radiokaiseregg128k.ice.infomaniak.ch/playlists/stream128k.mp3.m3u
Radio Pilatus                             www.radiopilatus.ch/streams/pilatus128.pls
Radio Rottu Oberwallis                    streams.rro.ch/rro.mp3
Radio Swiss Pop                           stream.srg-ssr.ch/rsp/mp3_128.m3u
RADIO TOP                                 icecast.radiotop.ch/radiotop_128.m3u 
RADIO TOP TWO                             icecast.radiotop.ch/toptwo_128.m3u
Radio Zuerisee                            mp3.radio.ch/radiozuerisee128k.m3u
radiotell.ch                              stream.radiotell.ch/radiotell.mp3
SRF 1                                     stream.srg-ssr.ch/drs1/mp3_128.m3u
SRF 2                                     stream.srg-ssr.ch/drs2/mp3_128.m3u
SRF 3                                     stream.srg-ssr.ch/drs3/mp3_128.m3u
SRF Musikwelle                            stream.srg-ssr.ch/drsmw/mp3_128.m3u
SRF Virus                                 stream.srg-ssr.ch/drsvirus/mp3_128.m3u

BelgianOldiesRadio                        listen.radionomy.com/niceoldies
BRF Radio 1                               streaming.brf.be/brf1-high.mp3
BRF Radio 2                               streaming.brf.be:80/brf2-high.mp3
RAI Südtirol                              radiobzlive.rai.it/RAIBZ_Livestream
Südtirol1                                 str2.creacast.com/sudtirol1a.m3u
Tele Radio Vinschgau                      88.99.122.236:8012/stream/1/
bbc_1xtra                                 bbcmedia.ic.llnwd.net/stream/bbcmedia_radio1xtra_mf_p
bbc_6music                                bbcmedia.ic.llnwd.net/stream/bbcmedia_6music_mf_p
bbc_london                                bbcmedia.ic.llnwd.net/stream/bbcmedia_lrldn_mf_p
bbc_radio_five_live                       bbcmedia.ic.llnwd.net/stream/bbcmedia_radio5live_mf_p
bbc_radio_four_extra                      bbcmedia.ic.llnwd.net/stream/bbcmedia_radio4extra_mf_p
bbc_radio_fourfm                          bbcmedia.ic.llnwd.net/stream/bbcmedia_radio4fm_mf_p
bbc_radio_gloucestershire                 bbcmedia.ic.llnwd.net/stream/bbcmedia_lrgloucs_mf_p
bbc_radio_one                             bbcmedia.ic.llnwd.net/stream/bbcmedia_radio1_mf_p
bbc_radio_scotland_fm                     bbcmedia.ic.llnwd.net/stream/bbcmedia_scotlandfm_mf_p
bbc_radio_three                           bbcmedia.ic.llnwd.net/stream/bbcmedia_radio3_mf_p
bbc_radio_two                             bbcmedia.ic.llnwd.net/stream/bbcmedia_radio2_mf_p
bbc_radio_wales_fm                        bbcmedia.ic.llnwd.net/stream/bbcmedia_walesmw_mf_p
Capital London                            media-sov.musicradio.com:80/CapitalMP3
Fun Kids Radio                            www.funkidslive.com/player/aggregator-96-mp3.m3u
Gold London                               media-ice.musicradio.com/Gold.m3u
Heart London                              media-ice.musicradio.com/HeartLondonMP3
Imagine FM                                webradio.radiomonitor.com/stream/Imagine
LBC London                                media-ice.musicradio.com/LBCLondon.m3u
Manx Radio AM                             edge-event-05-gos1.sharp-stream.com:80/manxradiofm.mp3
Radio Caroline                            sc3.radiocaroline.net:8030/listen.pls
Radio X London                            media-ice.musicradio.com/RadioXLondon.m3u
Stray  FM                                 str1.sad.ukrd.com/stray.m3u
Sunshine Radio                            icecast.easystream.co.uk:8000/herefordFM
45Tours                                   listen.radionomy.com/45tours
ALLZIC - Annees 80                        allzic08.ice.infomaniak.ch/allzic08.mp3
ALLZIC - Annees 90                        allzic24.ice.infomaniak.ch/allzic24.mp3
Alouette                                  alouette.ice.infomaniak.ch:80/alouette-high.mp3
Alpes 1 Gap PREMIUM                       alpes1gap.ice.infomaniak.ch/alpes1gap-high.mp3
CFM FRENCHIE                              185.52.127.162/fr/30213/aac_64.mp3
CFM                                       stric6.streamakaci.com/cfmradio.mp3
Chante France                             stream1.chantefrance.com/Chante_France.m3u
europe 1                                  e1-live-mp3-128.scdn.arkena.com/europe1.mp3
EVASION                                   www.listenlive.eu/evasionfm.m3u
France1Max                                listen.radionomy.com/france1max.m3u
M2 CHILLOUT                               www.m2radio.fr/pls/m2chillout.m3u
M2 FUNK                                   www.m2radio.fr/pls/m2funk.m3u
M2 HIT                                    www.m2radio.fr/pls/m2hit.m3u
M2 Rock                                   www.m2radio.fr/pls/m2rock.m3u
MFM Radio - comedies musicales            mfm-wr05.ice.infomaniak.ch/mfm-wr05.mp3
MFM Radio - Duos                          mfm-wr06.ice.infomaniak.ch/mfm-wr06.mp3
MFM Radio - Generiques TV                 mfm-wr14.ice.infomaniak.ch/mfm-wr14.mp3
